Project,Location,Abstract,URL,Latitude,Longitude,Species,Publication Type,Author,Year,Publication,Key Words,type,Path
Conserving migrations across boundaries: emerging insights and case studies from Greater Yellowstone,Greater Yellowstone,"Animal migrations are ecologically, culturally, and economically important. Ungulate populations in many parts of Africa, Asia, Europe, and the Americas migrate long distances to access seasonally available resources, traversing vast landscapes in large numbers. Yet some migrations are declining, raising concerns among scientists and natural resource managers. We synthesize recent advances in ungulate migration ecology with relevance to management and policy. Using case studies from the Greater Yellowstone Ecosystem (GYE), we show how new tools can be applied to map ungulate migrations and assess threats across multiple seasonal habitats, serving as a conservation roadmap. To help conserve ungulate migrations, we also propose a transboundary science, policy, and management framework that could be adapted beyond the GYE and that encompasses the needs of multiple species. The key elements of this framework consist of more widespread mapping and assessment of migrations, improved federal and state coordination across jurisdictional lines, increased investment in private land conservation, and strong engagement of local stakeholders positioned to sustain conservation activities over the long term.",https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2145,44.813598,-110.858652,Mule Deer,Research Paper,"Arthur D Middleton,_Hall Sawyer,_Jerod A Merkle,_Matthew J Kauffman,_Eric K Cole,_Sarah R Dewey,_Justin A Gude,_David D Gustine,_Douglas E McWhirter,_Kelly M Proffitt,_PJ White",2019,Frontiers in Ecology and the Enviornment,,estimated,images/EcologyLetters.png
Continuous time resource selection analysis for moving animals,Greater Yellowstone,"Resource selection analysis (RSA) seeks to understand how spatial abundance covaries with environmental features. By combining RSA with movement, step selection analysis (SSA) has helped uncover the mechanisms behind animal relocations, thereby giving insight into the movement decisions underlying spatial patterns. However, SSA typically assumes that at each observed location, an animal makes a ‚selectionê of the next observed location. This conflates observation with behavioural mechanism and does not account for decisions occurring at any other time along the animalês path.",https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13259,44.531761,-110.504049,Mule Deer,Research Paper,"Yi-Shan Wang,_Paul G. Blackwell,_Jerod A. Merkle,_Jonathan R. Potts",2019,Methods in Ecology and Evolution,"animal migration, Bayesian methods, modelling, movement ecology, Ornstein-Uhlenbeck model, resource selection analysis, spatial or time-series, steps selection analysis",estimated,images/EcologyEvolutionApplied.png
Defining null expectations for animal site fidelity,,"Site fidelity-the tendency to return to previously visited locations-is widespread across taxa. Returns may be driven by several mechanisms, including memory, habitat selection, or chance; however, pattern-based definitions group different generating mechanisms under the same label of 'site fidelity', often assuming memory as the main driver. We propose an operational definition of site fidelity as patterns of return that deviate from a null expectation derived from a memory-free movement model. First, using agent-based simulations, we show that without memory, intrinsic movement characteristics and extrinsic landscape characteristics are key determinants of return patterns and that even random movements may generate substantial probabilities of return. Second, we illustrate how to implement our framework empirically to establish ecologically meaningful, system-specific null expectations for site fidelity. Our approach provides a conceptual and operational framework to test hypotheses on site fidelity across systems and scales.",https://doi.org/10.1111/ele.14148,42.443441,-105.823906,Mule Deer,Research Paper,"Simona Picardi,_Briana Abrahms,_Emily Gelzer,_Thomas A. Morrison,_Tana Verzuh,_Jerod A. Merkle",2022,Ecology Letters,"agent-based simulation, correlated random walk, landscape configuration, mechanistic movement model, memory, return patterns, revisitation patterns, site fidelity",estimated,images/EcologyLetters.png
Determinants of elephant foraging behavior in a coupled human-natural system: is brown the new green,Mozambique's Gorongosa National Park,"Crop raiding by wildlife poses major threats to both wildlife conservation and human well-being in agroecosystems worldwide. These threats are particularly acute in many parts of Africa, where crop raiders include globally threatened megafauna such as elephants, and where smallholder agriculture is a primary source of human livelihood. One framework for understanding herbivore feeding behaviour, the forage-maturation hypothesis, predicts that herbivores should align their movements with intermediate forage biomass (i.e., peak green-up); this phenomenon is known as _surfing the green wave.” Crop-raiding elephants, however, often consume not just foliage, but also fruits and tubers (e.g., maize and potatoes), which generally mature after seasonal peaks in photosynthetic activity. Thus, although elephants have been reported to surf the green wave in natural habitats, they may utilize a different strategy in cultivated landscapes by selecting crops that are _browning down.”",https://doi.org/10.1111/1365-2656.12971,-18.83671,34.524045,Elephant,Research Paper,,2019,Journal of Wildlife Management,,generalized,images/wildlifemanagement.png
"Dietary niche partitioning among black bears, grizzly bears, and wolves in a multiprey ecosystem",British Columbia,"Identifying mechanisms that promote coexistence of sympatric species is important for predicting ecological effects of anthropogenic change. Many caribou (Rangifer tarandus_(L., 1758)) populations are declining, and it is unclear to what extent sympatric predators consume caribou or how alternative prey affect caribou_predator relationships. We used stable isotope mixing models to estimate diets of black bear (Ursus americanus_Pallas, 1780), grizzly bear (Ursus arctos_L., 1758), and grey wolves (Canis lupus_L., 1758) during early, middle, and late summer of 2009_2010 in northwestern British Columbia, Canada. Although we expected wolf diet to be primarily composed of moose (Alces alces_(L., 1758)) † as they exist at twice the density of caribou † wolf diet consisted principally of caribou, and to a lesser extent moose and beaver (Castor canadensis_Kuhl, 1820), with little change occurring throughout summer. Black bear diet consisted mainly of vegetation and moose, shifting from moose to vegetation through summer. Grizzly bear diet consisted primarily of vegetation and moose, and did not change throughout summer. Our results demonstrate the role of dietary niche partitioning in bear and wolf coexistence, and that caribou may be primary prey for wolves in an ecosystem with relatively high moose abundance and low human development.",https://doi.org/10.1139/cjz-2016-0258,53.30813,-124.617627,"Black Bear, Wolves, Moose",Research Paper,,2017,Canadian Journal of Zoology,,estimated,images/CanadianJournal.png
Drivers of site fidelity in ungulates,"Wyoming, Alaska, Tanzania, Kenya","While the tendency to return to previously visited locations termed «site fidelityê is common in animals, the cause of this behaviour is not well understood. One hypothesis is that site fidelity is shaped by an animal's environment, such that animals living in landscapes with predictable resources have stronger site fidelity. Site fidelity may also be conditional on the success of animalsê recent visits to that location, and it may become stronger with age as the animal accumulates experience in their landscape. Finally, differences between species, such as the way memory shapes site attractiveness, may interact with environmental drivers to modulate the strength of site fidelity.",https://doi.org/10.1111/1365-2656.13425,42.762551,-109.636523,"Mule Deer, Moose, Elk, Bighorn Sheep, Caribou, Zebra, Wildebeest",Research Paper,"Thomas A. Morrison,_Jerod A. Merkle,_J. Grant C. Hopcraft,_Ellen O. Aikens,_Jeffrey L. Beck,_Randall B. Boone,_Alyson B. Courtemanch,_Samantha P. Dwinnell,_W. Sue Fairbanks,_Brad Griffith,_Arthur D. Middleton,_Kevin L. Monteith,_Brendan Oates,_Louise Riotte-Lambert,_Hall Sawyer,_Kurt T. Smith,_Jared A. Stabach,_Kaitlyn L. Taylor,_Matthew J. Kauffman",2021,Journal of Animal Ecology,,estimated,images/JournalAnimalEcology.png
Drought reshuffles plant phenology and reduces the foraging benefit of green-wave surfing for a migratory ungulate,Wyoming,"To increase resource gain, many herbivores pace their migration with the flush of nutritious plant green-up that progresses across the landscape (termed _green-wave surfing”). Despite concerns about the effects of climate change on migratory species and the critical role of plant phenology in mediating the ability of ungulates to surf, little is known about how drought shapes the green wave and influences the foraging benefits of migration. With a 19_year dataset on drought and plant phenology across 99 unique migratory routes of mule deer (Odocoileus hemionus) in western Wyoming, United States, we show that drought shortened the duration of spring green-up by approximately twofold (2.5_weeks) and resulted in less sequential green-up along migratory routes. We investigated the possibility that some routes were buffered from the effects of drought (i.e., routes that maintained long green-up duration irrespective of drought intensity). We found no evidence of drought-buffered routes. Instead, routes with the longest green-up in non-drought years also were the most affected by drought. Despite phenological changes along the migratory route, mule deer closely followed drought-altered green waves during migration. Migrating deer did not experience a trophic mismatch with the green wave during drought. Instead, the shorter window of green-up caused by drought reduced the opportunity to accumulate forage resources during rapid spring migrations. Our work highlights the synchronization of phenological events as an important mechanism by which climate change can negatively affect migratory species by reducing the temporal availability of key food resources. For migratory herbivores, climate change poses a new and growing threat by altering resource phenology and diminishing the foraging benefit of migration.",https://doi.org/10.1111/gcb.15169,43.214762,-110.077359,Mule Deer,Research Paper,,2020,Global Change Biology,,estimated,images/globalchange.png
Elk migration influences the risk of disease spillover in the Greater Yellowstone Ecosystem,Greater Yellowstone,"While the tendency to return to previously visited locations termed site fidelity is common in animals, the cause of this behaviour is not well understood. One hypothesis is that site fidelity is shaped by an animal's environment, such that animals living in landscapes with predictable resources have stronger site fidelity. Site fidelity may also be conditional on the success of animals recent visits to that location, and it may become stronger with age as the animal accumulates experience in their landscape. Finally, differences between species, such as the way memory shapes site attractiveness, may interact with environmental drivers to modulate the strength of site fidelity.",https://doi.org/10.1111/1365-2656.13425,44.492779,-110.600659,Elk,Research Paper,"Nathaniel D. Rayl,_Jerod A. Merkle,_Kelly M. Proffitt,_Emily S. Almberg,_Jennifer D. Jones,_Justin A. Gude,_Paul C. Cross",2021,Journal of Animal Ecology,"Brucellosis, cross-species pathogen spillover, human-wildlife conflict, partial migration, resource selection function, wildlife disease",estimated,images/JournalAnimalEcology.png
Emerging perspectives on resource tracking and animal movement,,"Resource tracking, where animals increase energy gain by moving to track phenological variation in resources across space, is emerging as a fundamental attribute of animal movement ecology. However, a theoretical framework to understand when and where resource tracking should occur, and how resource tracking should lead to emergent ecological patterns, is lacking. We present a framework that unites concepts from optimal foraging theory and landscape ecology, which can be used to generate and test predictions on how resource dynamics shape animal movement across taxa, systems, and scales. Consideration of the interplay between animal movement and resource dynamics not only advances ecological understanding but can also guide biodiversity conservation in an era of global change.",10.1016/j.tree.2020.10.018,,,,Journal Article,"Briana_Abrahms,_Ellen O._Aiken, _Jonathan B._Armstrong,_William W._Deacy_7,_Matthew J._Kauffman_8,_Jerod A._Merkle_2",2020,Trends in Ecology & Evolution,"movement ecology, phenological variation, resource landscape, foraging theory",estimated,images/EcologyEvolution.png
Energy benefits and emergent space use patterns of an empirically parameterized model of memory-based patch selection,Canada,"Many species frequently return to previously visited foraging sites. This bias towards familiar areas suggests that remembering information from past experience is beneficial. Such a memory-based foraging strategy has also been hypothesized to give rise to restricted space use (i.e. a home range). Nonetheless, the benefits of empirically derived memory-based foraging tactics and the extent to which they give rise to restricted space use patterns are still relatively unknown. Using a combination of stochastic agent-based simulations and deterministic integro-difference equations, we developed an adaptive link (based on energy gains as a foraging currency) between memory-based patch selection and its resulting spatial distribution. We used a memory-based foraging model developed and parameterized with patch selection data of free-ranging bison_Bison bison_in Prince Albert National Park, Canada. Relative to random use of food patches, simulated foragers using both spatial and attribute memory are more efficient, particularly in landscapes with clumped resources. However, a certain amount of random patch use is necessary to avoid frequent returns to relatively poor-quality patches, or avoid being caught in a relatively poor quality area of the landscape. Notably, in landscapes with clumped resources, simulated foragers that kept a reference point of the quality of recently visited patches, and returned to previously visited patches when local patch quality was poorer than the reference point, experienced higher energy gains compared to random patch use. Furthermore, the model of memory-based foraging resulted in restricted space use in simulated landscapes and replicated the restricted space use observed in free-ranging bison reasonably well. Our work demonstrates the adaptive value of spatial and attribute memory in heterogeneous landscapes, and how home ranges can be a byproduct of non-omniscient foragers using past experience to minimize temporal variation in energy gains.",10.5061/dryad.b75j7,53.905704,-106.392482,Bison,Research Paper,,2017,Oikos,,estimated,images/Oikos.png
Examining speed versus selection in connectivity models using elk migration as an example,Wyoming,"Landscape resistance is vital to connectivity modeling and frequently derived from resource selection functions (RSFs). RSFs estimate relative probability of use and tend to focus on understanding habitat preferences during slow, routine animal movements (e.g., foraging). Dispersal and migration, however, can produce rarer, faster movements, in which case models of movement speed rather than resource selection may be more realistic for identifying habitats that facilitate connectivity.",https://link.springer.com/article/10.1007/s10980-018-0642-z,43.785328,-110.681907,Elk,Research Paper,,2018,Landscape Ecology,,estimated,images/EcologyLetters.png
"Getting cited early: influence of visibility strategies, structure, and focal system on early citation rates","Laramie, Wyoming","Elucidating factors that contribute to citation rates of scientific articles can help scientists write manuscripts that have a stronger influence on their scientific field and are accessible to a broad audience. Using a cohort of 778 articles published in The Journal of Wildlife Managemen from 2011_2015, we examined how visibility strategies, article structure, and focal system (all factors authors can predominantly control) influenced the accumulation of citations over various time frames within the first 5 years after publication, and the number of days until an article received its first citation. Visibility strategies (e.g., open access, increasing the Altmetric Attention Score, and self-citations) all influenced the number of citations accrued following publication. Citations were more stochastic 1 year following publication compared to 5 years following publication, with only 20.1% of papers receiving a citation after 1 year compared to 92.5% of papers receiving a citation after 5 years. Our model explained much more of the variation after 5 years compared to after only 1 year (R2_=_0.57 and 0.12, respectively). The number of factors significantly associated with citation rates increased as the timeframe of our analysis increased. After 5 years, factors associated with article structure (e.g., number of references), focal system (e.g., methods papers), and visibility all increased citation counts of papers. Our work suggests citation rates within wildlife ecology are influenced by a number of controllable factors, and that authors pursuing a variety of visibility strategies can increase the influence of an article on science and management.",https://wildlife.onlinelibrary.wiley.com/doi/10.1002/jwmg.22214,41.312657,-105.629926,None,Review Paper,"Emily R. Gelzer,_Michel P. Laforge,_Justine A. Becker,_Nathan P. Hough,_Mallory Sandoval Lambert,_Marie-Pier Poulin,_Rebecca Thomas-Kuzilik,_Tana L. Verzuh,_Jerod A. Merkle",2022,Journal of Wildlife Management,"article influence, publishing, open access",estimated,images/wildlifemanagement.png
Green-wave surfing increases fat gain in a migratory ungulate,Greater Yellowstone,"Each spring, migratory herbivores around the world track or «surfê green waves of newly emergent vegetation to distant summer or wet-season ranges. This foraging tactic may help explain the great abundance of migratory herbivores on many seasonal landscapes. However, the underlying fitness benefits of this life-history strategy remain poorly understood. A fundamental prediction of the green-wave hypothesis is that migratory herbivores obtain fitness benefits from surfing waves of newly emergent vegetation more closely than their resident counterparts. Here we evaluate whether this behavior increases body-fat levels _ a critically important correlate of reproduction and survival for most ungulates _ in elk_Cervus elaphus_of the Greater Yellowstone Ecosystem. Using satellite imagery and GPS tracking data, we found evidence that migrants (n_=_23) indeed surfed the green wave, occupying sites 12.7 days closer to peak green-up than residents (n_=_16). Importantly, individual variation in surfing may help account for up to 6 kg of variation in autumn body-fat levels. Our findings point to a pathway for anthropogenic changes to the green wave (e.g. climate change) or migrantsê ability to surf it (e.g. development) to impact migratory populations. To explore this possibility, we evaluated potential population-level consequences of constrained surfing with a heuristic model. If green-wave surfing deteriorates by 5_15 days from observed, our model predicts up to a 20% decrease in pregnancy rates, a 2.5% decrease in population growth, and a 30% decrease in abundance over 50 years. By linking green-wave surfing to fitness and illustrating potential effects on population growth, our study provides new insights into the evolution of migratory behavior and the prospects for the persistence of migratory ungulate populations in a changing world.",https://doi.org/10.1111/oik.05227,44.425324,-110.585709,Elk,Research Paper,,2018,Oikos,,estimated,images/Oikos.png
